ecosystem,source_id,source_name,title,url,published,cves,severity_guess,risk_score_guess,summary
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.34: DRA Consumable Capacity,https://kubernetes.io/blog/2025/09/18/kubernetes-v1-34-dra-consumable-capacity/,2025-09-18,,CRITICAL,5.5,"Kubernetes v1.34: DRA Consumable Capacity <p>Dynamic Resource Allocation (DRA) is a Kubernetes API for managing scarce resources across Pods and containers. It enables flexible resource requests, going beyond simply allocating <em>N</em> number of devices to support more granular usage scenarios."
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.34: Pods Report DRA Resource Health,https://kubernetes.io/blog/2025/09/17/kubernetes-v1-34-pods-report-dra-resource-health/,2025-09-17,,CRITICAL,5.5,"Kubernetes v1.34: Pods Report DRA Resource Health <p>The rise of AI/ML and other high-performance workloads has made specialized hardware like GPUs, TPUs, and FPGAs a critical component of many Kubernetes clusters. However, as discussed in a <a href=""https://kubernetes.io/blog/2025/07/03/navigating-failures-in-pods-with-devices/"">previous blog post about navigating failures in Pods with devices</a>, when this hardware fails, it can be difficult to diagnose, leading to significant downtime."
Kubernetes,k8s_blog,Kubernetes Blog,Gateway API 1.4: New Features,https://kubernetes.io/blog/2025/11/06/gateway-api-v1-4/,2025-11-06,,CRITICAL,5.5,"Gateway API 1.4: New Features <p><img alt=""Gateway API logo"" src=""https://kubernetes.io/blog/2025/11/06/gateway-api-v1-4/gateway-api-logo.svg""></p> <p>Ready to rock your Kubernetes networking? The Kubernetes SIG Network community presented the General Availability (GA) release of Gateway API (v1.4.0)!"
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.34: Snapshottable API server cache,https://kubernetes.io/blog/2025/09/09/kubernetes-v1-34-snapshottable-api-server-cache/,2025-09-09,,CRITICAL,5.5,"Kubernetes v1.34: Snapshottable API server cache <p>For years, the Kubernetes community has been on a mission to improve the stability and performance predictability of the API server. A major focus of this effort has been taming <strong>list</strong> requests, which have historically been a primary source of high memory usage and heavy load on the <code>etcd</code> datastore."
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.34: Of Wind & Will (O' WaW),https://kubernetes.io/blog/2025/08/27/kubernetes-v1-34-release/,2025-08-27,CVE-2024-7598,CRITICAL,5.5,"Kubernetes v1.34: Of Wind & Will (O' WaW) <p><strong>Editors:</strong> Agustina Barbetta, Alejandro Josue Leon Bellido, Graziano Casto, Melony Qin, Dipesh Rawat</p> <p>Similar to previous releases, the release of Kubernetes v1.34 introduces new stable, beta, and alpha features. The consistent delivery of high-quality releases underscores the strength of our development cycle and the vibrant support from our community.</p> <p>This release consists of 58 enhancements."
Kubernetes,k8s_blog,Kubernetes Blog,Tuning Linux Swap for Kubernetes: A Deep Dive,https://kubernetes.io/blog/2025/08/19/tuning-linux-swap-for-kubernetes-a-deep-dive/,2025-08-19,,CRITICAL,5.5,"Tuning Linux Swap for Kubernetes: A Deep Dive <p>The Kubernetes <a href=""https://kubernetes.io/docs/concepts/cluster-administration/swap-memory-management/"">NodeSwap feature</a>, likely to graduate to <em>stable</em> in the upcoming Kubernetes v1.34 release, allows swap usage: a significant shift from the conventional practice of disabling swap for performance predictability. This article focuses exclusively on tuning swap on Linux nodes, where this feature is available."
Kubernetes,k8s_blog,Kubernetes Blog,Announcing Changed Block Tracking API support (alpha),https://kubernetes.io/blog/2025/09/25/csi-changed-block-tracking/,2025-09-25,,CRITICAL,5.5,"Announcing Changed Block Tracking API support (alpha) <p>We're excited to announce the alpha support for a <em>changed block tracking</em> mechanism. This enhances the Kubernetes storage ecosystem by providing an efficient way for <a href=""https://kubernetes.io/docs/concepts/storage/volumes/#csi"">CSI</a> storage drivers to identify changed blocks in PersistentVolume snapshots."
Kubernetes,k8s_blog,Kubernetes Blog,Spotlight on Policy Working Group,https://kubernetes.io/blog/2025/10/18/wg-policy-spotlight-2025/,2025-10-18,,CRITICAL,5.5,"Spotlight on Policy Working Group <p><em>(Note: The Policy Working Group has completed its mission and is no longer active. This article reflects its work, accomplishments, and insights into how a working group operates."
Kubernetes,k8s_blog,Kubernetes Blog,7 Common Kubernetes Pitfalls (and How I Learned to Avoid Them),https://kubernetes.io/blog/2025/10/20/seven-kubernetes-pitfalls-and-how-to-avoid/,2025-10-20,,CRITICAL,5.0,"7 Common Kubernetes Pitfalls (and How I Learned to Avoid Them) <p>It’s no secret that Kubernetes can be both powerful and frustrating at times. When I first started dabbling with container orchestration, I made more than my fair share of mistakes enough to compile a whole list of pitfalls."
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.34: VolumeAttributesClass for Volume Modification GA,https://kubernetes.io/blog/2025/09/08/kubernetes-v1-34-volume-attributes-class/,2025-09-08,,CRITICAL,4.0,"Kubernetes v1.34: VolumeAttributesClass for Volume Modification GA <p>The VolumeAttributesClass API, which empowers users to dynamically modify volume attributes, has officially graduated to General Availability (GA) in Kubernetes v1.34. This marks a significant milestone, providing a robust and stable way to tune your persistent storage directly within Kubernetes.</p> <h2 id=""what-is-volumeattributesclass"">What is VolumeAttributesClass?</h2> <p>At its core, VolumeAttributesClass is a cluster-scoped resource that defines a set of mutable parameters for a volume."
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.34: PSI Metrics for Kubernetes Graduates to Beta,https://kubernetes.io/blog/2025/09/04/kubernetes-v1-34-introducing-psi-metrics-beta/,2025-09-04,,CRITICAL,4.0,"Kubernetes v1.34: PSI Metrics for Kubernetes Graduates to Beta <p>As Kubernetes clusters grow in size and complexity, understanding the health and performance of individual nodes becomes increasingly critical. We are excited to announce that as of Kubernetes v1.34, <strong>Pressure Stall Information (PSI) Metrics</strong> has graduated to Beta.</p> <h2 id=""what-is-pressure-stall-information-psi"">What is Pressure Stall Information (PSI)?</h2> <p><a href=""https://docs.kernel.org/accounting/psi.html"">Pressure Stall Information (PSI)</a> is a feature of the Linux kernel (version 4.20 and later) that provides a canonical way to quantify pressure on infrastructure resources, in terms of whether demand for a resource exceeds current supply."
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.33: In-Place Pod Resize Graduated to Beta,https://kubernetes.io/blog/2025/05/16/kubernetes-v1-33-in-place-pod-resize-beta/,2025-05-16,,CRITICAL,3.5,"Kubernetes v1.33: In-Place Pod Resize Graduated to Beta <p>On behalf of the Kubernetes project, I am excited to announce that the <strong>in-place Pod resize</strong> feature (also known as In-Place Pod Vertical Scaling), first introduced as alpha in Kubernetes v1.27, has graduated to <strong>Beta</strong> and will be enabled by default in the Kubernetes v1.33 release! This marks a significant milestone in making resource management for Kubernetes workloads more flexible and less disruptive.</p> <h2 id=""what-is-in-place-pod-resize"">What is in-place Pod resize?</h2> <p>Traditionally, changing the CPU or memory resources allocated to a container required restarting the Pod."
Kubernetes,k8s_security_ann,Kubernetes Security Announcements,Kubernetes Security and Disclosure Information | Kubernetes,https://kubernetes.io/docs/reference/issues-security/security/,,,CRITICAL,3.0,"Kubernetes Security and Disclosure Information | Kubernetes Kubernetes Security and Disclosure Information | Kubernetes Kubernetes Documentation Kubernetes Blog Training Careers Partners Community Versions Release Information v1.35 v1.34 v1.33 v1.32 v1.31 English 中文 (Chinese) Bahasa Indonesia (Indonesian) 한국어 (Korean) Русский (Russian) English বাংলা (Bengali) 中文 (Chinese) Français (French) Deutsch (German) हिन्दी (Hindi) Bahasa Indonesia (Indonesian) Italiano (Italian) 日本語 (Japanese) 한국어 (Korean) Polski (Polish) Português (Portuguese) Русский (Russian) Español (Spanish) Українська (Ukrainian) Tiếng Việt (Vietnamese) Kubernetes Documentation Documentation Available Documentation Versions Getting started Learning environment Production environment Container Runtimes Installing Kubernetes with deployment tools Bootstrapping clusters with kubeadm Installing kubeadm Troubleshooting kubeadm Creating a cluster with kubeadm Customizing components with the kubeadm API Options for Highly Available Topology Creating Highly Available Clusters with kubeadm Set up a High Availability etcd Cluster with kubeadm Configuring each kubelet in your cluster using kubeadm Dual-stack support with kubeadm Turnkey Cloud Solutions Best practices Considerations for large clusters Running in multiple zones Validate node setup Enforcing Pod Security Standards PKI certificates and requirements Concepts Overview Kubernetes Components Objects In Kubernetes Kubernetes Object Management Object Names and IDs Labels and Selectors Namespaces Annotations Field Selectors Finalizers Owners and Dependents Recommended Labels Storage Versions The Kubernetes API Cluster Architecture Nodes Communication between Nodes and the Control Plane Controllers Leases Cloud Controller Manager About cgroup v2 Kubernetes Self-Healing Garbage Collection Mixed Version Proxy Containers Images Container Environment Runtime Class Container Lifecycle Hooks Container Runtime Interface (CRI) Workloads Pods Pod Lifecycle Init Containers Sidecar Containers Ephemeral Containers Disruptions Pod Hostname Pod Quality of Service Classes Workload Reference User Namespaces Downward API Workload API Pod Group Policies Workload Management Deployments ReplicaSet StatefulSets DaemonSet Jobs Automatic Cleanup for Finished Jobs CronJob ReplicationController Managing Workloads Autoscaling Workloads Horizontal Pod Autoscaling Vertical Pod Autoscaling Services, Load Balancing, and Networking Service Ingress Ingress Controllers Gateway API EndpointSlices Network Policies DNS for Services and Pods IPv4/IPv6 dual-stack Topology Aware Routing Networking on Windows Service ClusterIP allocation Service Internal Traffic Policy Storage Volumes Persistent Volumes Projected Volumes Ephemeral Volumes Storage Classes Volume Attributes Classes Dynamic Volume Provisioning Volume Snapshots Volume Snapshot Classes CSI Volume Cloning Storage Capacity Node-specific Volume Limits Local ephemeral storage Volume Health Monitoring Windows Storage Configuration ConfigMaps Secrets Liveness, Readiness, and Startup Probes Resource Management for Pods and Containers Organizing Cluster Access Using kubeconfig Files Resource Management for Windows nodes Security Cloud Native Security Pod Security Standards Pod Security Admission Service Accounts Pod Security Policies Security For Linux Nodes Security For Windows Nodes Controlling Access to the Kubernetes API Role Based Access Control Good Practices Good practices for Kubernetes Secrets Multi-tenancy Hardening Guide - Authentication Mechanisms Hardening Guide - Scheduler Configuration Kubernetes API Server Bypass Risks Linux kernel security constraints for Pods and containers Security Checklist Application Security Checklist Policies Limit Ranges Resource Quotas Process ID Limits And Reservations Node Resource Managers Scheduling, Preemption and Eviction Kubernetes Scheduler Assigning Pods to Nodes Pod Overhead Pod Scheduling Readiness Pod Topology Spread Constraints Taints and Tolerations Scheduling Framework Dynamic Resource Allocation Gang Sched"
,cncf_blog,CNCF Blog,Building platforms using kro for composition,https://www.cncf.io/blog/2025/12/15/building-platforms-using-kro-for-composition/,2025-12-15,,CRITICAL,3.0,"Building platforms using kro for composition Recent industry developments, such as Amazon’s announcement of the new EKS capabilities, highlight a trend toward supporting platforms with managed GitOps, cloud resource operators, and composition tooling. In particular, the involvement of Kube Resource Orchestrator (kro)—a... Mon, 15 Dec 2025 12:00:00 +0000"
Kubernetes,k8s_blog,Kubernetes Blog,"Gateway API v1.3.0: Advancements in Request Mirroring, CORS, Gateway Merging, and Retry Budgets",https://kubernetes.io/blog/2025/06/02/gateway-api-v1-3/,2025-06-02,,CRITICAL,3.0,"Gateway API v1.3.0: Advancements in Request Mirroring, CORS, Gateway Merging, and Retry Budgets <p><img alt=""Gateway API logo"" src=""https://kubernetes.io/blog/2025/06/02/gateway-api-v1-3/gateway-api-logo.svg""></p> <p>Join us in the Kubernetes SIG Network community in celebrating the general availability of <a href=""https://gateway-api.sigs.k8s.io/"">Gateway API</a> v1.3.0! We are also pleased to announce that there are already a number of conformant implementations to try, made possible by postponing this blog announcement."
Kubernetes,k8s_blog,Kubernetes Blog,Enhancing Kubernetes Event Management with Custom Aggregation,https://kubernetes.io/blog/2025/06/10/enhancing-kubernetes-event-management-custom-aggregation/,2025-06-10,,CRITICAL,3.0,"Enhancing Kubernetes Event Management with Custom Aggregation <p>Kubernetes <a href=""https://kubernetes.io/docs/reference/kubernetes-api/cluster-resources/event-v1/"">Events</a> provide crucial insights into cluster operations, but as clusters grow, managing and analyzing these events becomes increasingly challenging. This blog post explores how to build custom event aggregation systems that help engineering teams better understand cluster behavior and troubleshoot issues more effectively.</p> <h2 id=""the-challenge-with-kubernetes-events"">The challenge with Kubernetes events</h2> <p>In a Kubernetes cluster, events are generated for various operations - from pod scheduling and container starts to volume mounts and network configurations."
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.33: Updates to Container Lifecycle,https://kubernetes.io/blog/2025/05/14/kubernetes-v1-33-updates-to-container-lifecycle/,2025-05-14,,CRITICAL,3.0,Kubernetes v1.33: Updates to Container Lifecycle <p>Kubernetes v1.33 introduces a few updates to the lifecycle of containers. The Sleep action for container lifecycle hooks now supports a zero sleep duration (feature enabled by default).
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.34: User preferences (kuberc) are available for testing in kubectl 1.34,https://kubernetes.io/blog/2025/08/28/kubernetes-v1-34-kubectl-kuberc-beta/,2025-08-28,,CRITICAL,3.0,"Kubernetes v1.34: User preferences (kuberc) are available for testing in kubectl 1.34 <p>Have you ever wished you could enable <a href=""https://kep.k8s.io/3895"">interactive delete</a>, by default, in <code>kubectl</code>? Or maybe, you'd like to have custom aliases defined, but not necessarily <a href=""https://github.com/ahmetb/kubectl-aliases"">generate hundreds of them manually</a>?"
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.34: DRA has graduated to GA,https://kubernetes.io/blog/2025/09/01/kubernetes-v1-34-dra-updates/,2025-09-01,,CRITICAL,3.0,"Kubernetes v1.34: DRA has graduated to GA <p>Kubernetes 1.34 is here, and it has brought a huge wave of enhancements for Dynamic Resource Allocation (DRA)! This release marks a major milestone with many APIs in the <code>resource.k8s.io</code> group graduating to General Availability (GA), unlocking the full potential of how you manage devices on Kubernetes."
Kubernetes,k8s_blog,Kubernetes Blog,Start Sidecar First: How To Avoid Snags,https://kubernetes.io/blog/2025/06/03/start-sidecar-first/,2025-06-03,,CRITICAL,3.0,"Start Sidecar First: How To Avoid Snags <p>From the <a href=""https://kubernetes.io/blog/2025/04/22/multi-container-pods-overview/"">Kubernetes Multicontainer Pods: An Overview blog post</a> you know what their job is, what are the main architectural patterns, and how they are implemented in Kubernetes. The main thing I’ll cover in this article is how to ensure that your sidecar containers start before the main app."
Kubernetes,k8s_blog,Kubernetes Blog,Introducing Headlamp Plugin for Karpenter - Scaling and Visibility,https://kubernetes.io/blog/2025/10/06/introducing-headlamp-plugin-for-karpenter/,2025-10-06,,CRITICAL,3.0,"Introducing Headlamp Plugin for Karpenter - Scaling and Visibility <p>Headlamp is an open‑source, extensible Kubernetes SIG UI project designed to let you explore, manage, and debug cluster resources.</p> <p>Karpenter is a Kubernetes Autoscaling SIG node provisioning project that helps clusters scale quickly and efficiently. It launches new nodes in seconds, selects appropriate instance types for workloads, and manages the full node lifecycle, including scale-down.</p> <p>The new Headlamp Karpenter Plugin adds real-time visibility into Karpenter’s activity directly from the Headlamp UI."
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.34: Recovery From Volume Expansion Failure (GA),https://kubernetes.io/blog/2025/09/19/kubernetes-v1-34-recover-expansion-failure/,2025-09-19,,CRITICAL,3.0,Kubernetes v1.34: Recovery From Volume Expansion Failure (GA) <p>Have you ever made a typo when expanding your persistent volumes in Kubernetes? Meant to specify <code>2TB</code> but specified <code>20TiB</code>?
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.34: Pod Level Resources Graduated to Beta,https://kubernetes.io/blog/2025/09/22/kubernetes-v1-34-pod-level-resources/,2025-09-22,,CRITICAL,3.0,"Kubernetes v1.34: Pod Level Resources Graduated to Beta <p>On behalf of the Kubernetes community, I am thrilled to announce that the Pod Level Resources feature has graduated to Beta in the Kubernetes v1.34 release and is enabled by default! This significant milestone introduces a new layer of flexibility for defining and managing resource allocation for your Pods."
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes Configuration Good Practices,https://kubernetes.io/blog/2025/11/25/configuration-good-practices/,2025-11-25,,CRITICAL,3.0,Kubernetes Configuration Good Practices <p>Configuration is one of those things in Kubernetes that seems small until it's not. Configuration is at the heart of every Kubernetes workload.
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.35 Sneak Peek,https://kubernetes.io/blog/2025/11/26/kubernetes-v1-35-sneak-peek/,2025-11-26,,CRITICAL,3.0,"Kubernetes v1.35 Sneak Peek <p>As the release of Kubernetes v1.35 approaches, the Kubernetes project continues to evolve. Features may be deprecated, removed, or replaced to improve the project's overall health."
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes 1.35: In-Place Pod Resize Graduates to Stable,https://kubernetes.io/blog/2025/12/19/kubernetes-v1-35-in-place-pod-resize-ga/,2025-12-19,,CRITICAL,3.0,"Kubernetes 1.35: In-Place Pod Resize Graduates to Stable <p>This release marks a major step: more than 6 years after its initial conception, the <strong>In-Place Pod Resize</strong> feature (also known as In-Place Pod Vertical Scaling), first introduced as alpha in Kubernetes v1.27, and graduated to beta in Kubernetes v1.33, is now <strong>stable (GA)</strong> in Kubernetes 1.35!</p> <p>This graduation is a major milestone for improving resource efficiency and flexibility for workloads running on Kubernetes.</p> <h2 id=""what-is-in-place-pod-resize"">What is in-place Pod Resize?</h2> <p>In the past, the CPU and memory resources allocated to a container in a Pod were immutable. This meant changing them required deleting and recreating the entire Pod."
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.35: Kubelet Configuration Drop-in Directory Graduates to GA,https://kubernetes.io/blog/2025/12/22/kubernetes-v1-35-kubelet-config-drop-in-directory-ga/,2025-12-22,,CRITICAL,3.0,"Kubernetes v1.35: Kubelet Configuration Drop-in Directory Graduates to GA <p>With the recent v1.35 release of Kubernetes, support for a kubelet configuration drop-in directory is generally available. The newly stable feature simplifies the management of kubelet configuration across large, heterogeneous clusters.</p> <p>With v1.35, the kubelet command line argument <code>--config-dir</code> is production-ready and fully supported, allowing you to specify a directory containing kubelet configuration drop-in files."
